depression_probability,anxiety_probability
0.345415,0.396418
0.5145,0.489891
0.473193,0.537071
0.466817,0.487611
0.553316,0.548284
0.386055,0.312653
0.386478,0.484702
0.439549,0.572619
0.407848,0.445863
0.332266,0.312722
0.496473,0.520887
0.458393,0.439171
0.294732,0.333687
0.300684,0.381474
0.48526,0.606034
0.465281,0.575382
0.443141,0.489766
0.571694,0.660952
0.465421,0.502202
0.413193,0.392392
0.426698,0.516159
0.144389,0.286776
0.498993,0.615225
0.445556,0.504802
0.520943,0.640331
0.495678,0.46362
0.250759,0.298458
0.324942,0.304836
0.466034,0.613612
0.313969,0.353823
0.469681,0.520021
0.546082,0.560677
0.486967,0.608444
0.405803,0.413868
0.4885,0.631534
0.157133,0.193383
0.321314,0.381039
0.596183,0.566364
0.657312,0.624035
0.495758,0.580841
0.551476,0.548455
0.491184,0.476564
0.648485,0.725424
0.512493,0.517394
0.427113,0.592697
0.638848,0.792132
0.226363,0.31497
0.710434,0.753942
0.412587,0.472946
0.514821,0.58862
0.432933,0.574279
0.299154,0.494318
0.430443,0.524619
0.554888,0.623809
0.416848,0.523825
0.538572,0.713836
0.543832,0.555252
0.452295,0.389771
0.638721,0.613034
0.547708,0.677308
0.637922,0.564319
0.316013,0.444776
0.422203,0.495546
0.455995,0.45805
0.463936,0.586629
0.542581,0.672954
0.533314,0.493512
0.453117,0.520736
0.205412,0.258617
0.497769,0.540657
0.099966,0.142509
0.548534,0.608819
0.314121,0.352343
0.612103,0.631767
0.466925,0.533479
0.288135,0.366882
0.264838,0.39241
0.415746,0.48077
0.567275,0.565612
0.407453,0.442773
0.583263,0.740211
0.42823,0.509207
0.499305,0.376176
0.338521,0.321508
0.300936,0.344529
0.423498,0.592144
0.548501,0.636956
0.609739,0.615785
0.344527,0.474605
0.55818,0.637275
0.666327,0.731734
0.223311,0.308871
0.590699,0.555261
0.379083,0.483153
0.440626,0.49005
0.450816,0.536605
0.33167,0.370765
0.33238,0.42139
0.497497,0.640551
0.457923,0.480076
0.575364,0.630411
0.496261,0.414849
0.635381,0.63355
0.563498,0.572847
0.504387,0.465833
0.433688,0.486623
0.322931,0.425912
0.533658,0.483391
0.33918,0.403259
0.465293,0.486269
0.44419,0.45174
0.337777,0.476221
0.199758,0.272406
0.386364,0.46277
0.346005,0.455885
0.396791,0.548576
0.387347,0.406917
0.451214,0.548644
0.613241,0.62752
0.658959,0.611572
0.546878,0.501732
0.445763,0.391605
0.55709,0.610149
0.410933,0.444598
0.264262,0.432583
0.535303,0.535997
0.313157,0.413361
0.519541,0.554883
0.350932,0.528228
0.710424,0.861318
0.582907,0.591472
0.36846,0.516511
0.509235,0.720871
0.833819,0.978079
0.489025,0.656118
0.391312,0.508422
0.429966,0.405092
0.581022,0.632524
0.318614,0.387375
0.232639,0.389119
0.517492,0.5977
0.537529,0.662475
0.304258,0.41349
0.448708,0.551783
0.466741,0.607187
0.261571,0.453147
0.445636,0.525773
0.631384,0.70014
0.564477,0.528021
0.22,0.415557
0.504547,0.511804
0.676989,0.748529
0.277189,0.406848
0.33634,0.622532
0.669855,0.720378
0.338095,0.433586
0.567003,0.644672
0.494066,0.535334
0.22149,0.327799
0.557157,0.635133
0.548679,0.552569
0.630789,0.664645
0.548822,0.536756
0.468386,0.584137
0.598271,0.680308
0.460275,0.558252
0.725406,0.871378
0.314513,0.335125
0.254618,0.222895
0.401845,0.57974
0.378299,0.468612
0.1553,0.215483
0.815503,0.795021
0.644724,0.71043
0.715906,0.809653
0.496118,0.465421
0.45021,0.467939
0.44196,0.62211
0.306861,0.408948
0.502816,0.616059
0.25481,0.345649
0.363094,0.525428
0.635277,0.733477
0.470805,0.569288
0.168988,0.298958
0.42046,0.567834
0.317451,0.378505
0.518304,0.676606
0.398829,0.463742
0.624199,0.747912
0.383265,0.412477
0.682166,0.621162
0.410294,0.605704
0.248837,0.252688
0.732676,0.863672
0.328163,0.349162
0.300791,0.190594
0.235265,0.240993
0.391154,0.449316
0.565113,0.647511
0.497446,0.530869
0.406461,0.617539
0.561372,0.617294
0.561958,0.533678
0.352987,0.373076
0.486005,0.582129
0.433335,0.385917
0.738752,0.768763
0.505115,0.58662
0.673738,0.740298
0.574565,0.548734
0.640695,0.735305
0.435081,0.618817
0.432533,0.406003
0.538642,0.627227
0.499467,0.615199
0.383758,0.361656
0.29025,0.367083
0.421835,0.583025
0.478658,0.646727
0.582322,0.619535
0.452031,0.681098
0.492503,0.414385
0.255047,0.248819
0.406942,0.435627
0.567751,0.608423
0.360706,0.482332
0.534213,0.600087
0.510803,0.653492
0.492089,0.559198
0.459599,0.510754
0.172772,0.136959
0.444295,0.457743
0.587341,0.619864
0.299369,0.324317
0.436856,0.612261
0.666854,0.654828
0.175375,0.269863
0.355003,0.463118
0.417446,0.506844
0.374195,0.532118
0.383821,0.471783
0.487076,0.421248
0.518587,0.713345
0.505935,0.535316
0.432239,0.492612
0.373693,0.507471
0.556226,0.542086
0.36633,0.348918
0.631941,0.721404
0.617887,0.695812
0.439171,0.501546
0.517551,0.656578
0.507428,0.642029
0.399443,0.509508
0.48894,0.677359
0.437178,0.574792
0.423,0.360569
0.464319,0.427636
0.604594,0.780386
0.560182,0.561827
0.40632,0.4472
0.376122,0.436524
0.487386,0.638238
0.621254,0.623963
0.220501,0.281359
0.298319,0.447688
0.563389,0.621773
0.414094,0.456716
0.249129,0.404774
0.356259,0.537547
0.615174,0.643065
0.373325,0.518428
0.522098,0.638482
0.477703,0.517785
0.439076,0.562051
0.51766,0.57946
0.468575,0.463713
0.456237,0.422578
0.548884,0.563971
0.489302,0.487824
0.702817,0.759931
0.552259,0.618932
0.33207,0.340244
0.683728,0.713309
0.560194,0.646949
0.372791,0.483759
0.539887,0.574149
0.531969,0.592941
0.496152,0.602918
0.52311,0.566167
0.135713,0.222369
0.492973,0.546983
0.487814,0.489208
0.269556,0.345137
0.275076,0.339558
0.584144,0.728845
0.452165,0.568
0.422818,0.530116
0.243372,0.319365
0.43543,0.440677
0.297929,0.287629
0.483507,0.572479
0.455947,0.49612
0.483879,0.524387
0.556623,0.680038
0.563264,0.600394
0.423942,0.375647
0.286351,0.378474
0.391822,0.558891
0.487133,0.636298
0.493552,0.478644
0.468015,0.540735
0.511871,0.505409
0.517744,0.518548
0.503258,0.59003
0.307216,0.437687
0.434426,0.527026
0.359515,0.387026
0.561189,0.528039
0.257492,0.351695
0.367844,0.409169
0.618618,0.68802
0.353046,0.4734
0.326253,0.367348
0.398041,0.591455
0.238259,0.322678
0.457677,0.650886
0.511102,0.580733
0.315939,0.27439
0.5702,0.554713
0.662433,0.799907
0.339121,0.407777
0.447372,0.574492
0.3522,0.360818
0.196908,0.252451
0.241738,0.344688
0.372239,0.551229
0.377277,0.449541
0.649079,0.684804
0.372711,0.393705
0.521134,0.615494
0.233634,0.342404
0.276262,0.444607
0.377669,0.551494
0.407325,0.444003
0.250161,0.482566
0.527782,0.557
0.468482,0.509485
0.217068,0.132898
0.535751,0.697844
0.484049,0.468072
0.260506,0.353582
0.466521,0.565882
0.498193,0.388332
0.510579,0.550029
0.207079,0.254683
0.617511,0.613962
0.325741,0.502942
0.269393,0.313062
0.540358,0.602976
0.496086,0.532382
0.386594,0.451817
0.373687,0.520716
0.436144,0.38052
0.54355,0.452703
0.43763,0.472356
0.486408,0.605968
0.303751,0.440947
0.260847,0.32329
0.490542,0.440462
0.602706,0.674253
0.462472,0.463775
0.440053,0.611228
0.574104,0.614601
0.630675,0.801785
0.474145,0.616578
0.574853,0.646291
0.531877,0.61778
0.674136,0.719282
0.439548,0.459871
0.564735,0.713602
0.55941,0.632672
0.470698,0.563646
0.385443,0.50364
0.339381,0.438447
0.474886,0.608312
0.404572,0.512623
0.400459,0.473976
0.319588,0.391413
0.226731,0.359989
0.29557,0.317736
0.52346,0.575881
0.438552,0.504792
0.713638,0.724165
0.306475,0.3484
0.501435,0.608566
0.417053,0.588823
0.610604,0.60241
0.535892,0.591903
0.409114,0.424624
0.509333,0.480686
0.522167,0.676458
0.589698,0.603786
0.448927,0.59154
0.391526,0.470628
0.502007,0.54165
0.368757,0.500361
0.356395,0.386236
0.485521,0.454961
0.513834,0.672624
0.27135,0.332971
0.573052,0.602247
0.502551,0.571518
0.450576,0.499322
0.707075,0.736642
0.539968,0.656651
0.289827,0.405159
0.352857,0.562559
0.633693,0.665695
0.587683,0.672222
0.5294,0.621926
0.25298,0.37985
0.533427,0.589292
0.310755,0.46741
0.657525,0.700379
0.219184,0.322255
0.502445,0.49949
0.442148,0.396868
0.844413,0.853358
0.372763,0.518608
0.391331,0.438672
0.666506,0.591071
0.554671,0.622356
0.378258,0.387948
0.57691,0.585012
0.581289,0.606508
0.479839,0.552374
0.456579,0.614548
0.316783,0.377376
0.445095,0.546038
0.602182,0.676122
0.670348,0.730069
0.465307,0.449944
0.432582,0.586953
0.570731,0.618082
0.445347,0.547715
0.581373,0.525171
0.717819,0.704639
0.676591,0.675242
0.489273,0.640574
0.711416,0.733611
0.652071,0.702906
0.526472,0.612616
0.553424,0.638568
0.393508,0.406197
0.412349,0.464639
0.431512,0.591469
0.230642,0.37916
0.525244,0.541526
0.40102,0.354222
0.251186,0.332763
0.495851,0.554634
0.547535,0.57505
0.627113,0.680746
0.21544,0.351539
0.60789,0.732903
0.512572,0.514465
0.41723,0.478012
0.552331,0.635695
0.518794,0.528249
0.450087,0.372219
0.430455,0.492962
0.327317,0.395286
0.208442,0.264969
0.496789,0.489851
0.557119,0.753053
0.577955,0.613554
0.32973,0.342947
0.451107,0.589776
0.485342,0.481262
0.49528,0.555323
0.25439,0.254803
0.530256,0.553253
0.29118,0.438218
0.614279,0.689736
0.328115,0.418468
0.312366,0.399002
0.556767,0.730274
0.577702,0.654389
0.465118,0.45466
0.257492,0.209176
0.50992,0.661294
0.523378,0.511757
0.266141,0.43876
0.697865,0.804507
0.426015,0.470571
0.728502,0.825049
0.283916,0.353773
0.350098,0.29974
0.309797,0.475403
0.594228,0.612098
0.352414,0.467849
0.455115,0.547515
0.451192,0.585419
0.581433,0.648095
0.24127,0.36415
0.487518,0.593064
0.384502,0.453759
0.345186,0.406421
0.387718,0.40037
0.500752,0.707505
0.430742,0.477512
0.167302,0.2916
0.708255,0.719453
0.402131,0.550003
0.49234,0.540329
0.406499,0.426243
0.455238,0.507085
0.5079,0.588136
0.59725,0.756189
0.517439,0.689284
0.38033,0.569472
0.39751,0.449283
0.447183,0.41648
0.531585,0.518865
0.422098,0.498906
0.491448,0.545294
0.297704,0.337843
0.457457,0.526967
0.454295,0.512061
0.555334,0.688612
0.613304,0.756079
0.439637,0.597477
0.343168,0.436187
0.257809,0.311258
0.491474,0.560121
0.52245,0.620513
0.433895,0.388439
0.424807,0.465778
0.36566,0.469638
0.348269,0.505149
0.450624,0.515462
0.388717,0.554402
0.517784,0.51945
0.589764,0.509573
0.454885,0.520592
0.277644,0.445612
0.467438,0.45283
0.433741,0.671449
0.397684,0.447886
0.52251,0.654892
0.327873,0.442218
0.313497,0.374207
0.518999,0.515442
0.684216,0.772782
0.519409,0.572127
0.550733,0.579693
0.414249,0.595309
0.370798,0.335622
0.388663,0.424618
0.422953,0.478434
0.442489,0.621064
0.225118,0.281856
0.791689,0.879526
0.529238,0.570067
0.336883,0.41328
0.694559,0.659085
0.455302,0.586207
0.495433,0.57612
0.411543,0.45657
0.567461,0.508752
0.474411,0.438241
0.358934,0.445484
0.530367,0.451848
0.419726,0.45621
0.373949,0.349393
0.539498,0.62929
0.641656,0.629135
0.625574,0.815867
0.521602,0.566117
0.44932,0.401058
0.295585,0.444846
0.285906,0.367426
0.353595,0.391539
0.374786,0.544099
0.436312,0.429077
0.671081,0.684033
0.52112,0.654131
0.655127,0.694513
0.422259,0.488312
0.529713,0.576697
0.45244,0.518688
0.426438,0.485708
0.164463,0.160564
0.411913,0.512303
0.669131,0.633545
0.662564,0.642784
0.602033,0.611114
0.219881,0.271546
0.517815,0.540755
0.641939,0.705307
0.305595,0.442645
0.41791,0.529337
0.456447,0.467229
0.560912,0.721522
0.499729,0.616684
0.602147,0.754011
0.52104,0.688055
0.289089,0.309491
0.287726,0.273332
0.360631,0.472164
0.492822,0.644952
0.521137,0.582964
0.449356,0.559855
0.490931,0.628157
0.490149,0.638373
0.32873,0.421213
0.447768,0.557171
0.252987,0.435333
0.796201,0.809415
0.442534,0.485641
0.461146,0.560795
0.391886,0.430567
0.507282,0.557977
0.157506,0.245589
0.738775,0.754269
0.532964,0.590177
0.444157,0.528576
0.264161,0.404155
0.655386,0.628326
0.606467,0.57703
0.35089,0.550624
0.497564,0.556281
0.521305,0.543337
0.441115,0.585058
0.451348,0.483471
0.586865,0.653716
0.472036,0.640413
0.4682,0.491529
0.502172,0.561316
0.468876,0.59522
0.671637,0.711982
0.510839,0.666182
0.493156,0.456993
0.670734,0.668394
0.468864,0.574309
0.380143,0.414464
0.35727,0.466347
0.445713,0.486802
0.497707,0.531832
0.605943,0.708888
0.682785,0.668393
0.428637,0.388028
0.53985,0.600074
0.31632,0.294894
0.365984,0.478085
0.477274,0.46235
0.466609,0.542396
0.478525,0.606561
0.277303,0.428792
0.361892,0.409339
0.34035,0.444196
0.53884,0.581685
0.559339,0.688321
0.272702,0.261767
0.483368,0.625435
0.479731,0.51273
0.629454,0.531927
0.515824,0.618866
0.415058,0.573524
0.540453,0.56696
0.380849,0.40494
0.595484,0.69625
0.409195,0.533531
0.445773,0.686223
0.262879,0.411873
0.660566,0.655248
0.32157,0.427255
0.367039,0.395104
0.454248,0.557727
0.57434,0.705461
0.582599,0.662826
0.465179,0.527462
0.253262,0.295898
0.741061,0.840752
0.647136,0.732207
0.383495,0.416501
0.778465,0.750001
0.480282,0.47646
0.751564,0.69951
0.872014,0.910016
0.521925,0.550649
0.232547,0.413135
0.351489,0.431642
0.526456,0.725424
0.647863,0.742904
0.359081,0.458535
0.641894,0.755776
0.470384,0.531905
0.40593,0.421858
0.229977,0.236879
0.426076,0.459666
0.440659,0.549999
0.462376,0.656552
0.548514,0.592087
0.385744,0.565089
0.253133,0.247733
0.313307,0.446742
0.756491,0.729551
0.485319,0.64479
0.370556,0.452816
0.71685,0.737841
0.350209,0.461442
0.60338,0.536057
0.473049,0.499967
0.316532,0.322737
0.448989,0.421881
0.735614,0.809979
0.161856,0.233077
0.154971,0.285514
0.592857,0.56713
0.465043,0.50773
0.437001,0.584657
0.399954,0.48419
0.750604,0.759626
0.59578,0.627971
0.651602,0.690883
0.346298,0.386111
0.253718,0.370918
0.644854,0.693243
0.436178,0.475413
0.460075,0.423533
0.557577,0.630591
0.371215,0.406531
0.517606,0.669248
0.53623,0.673721
0.394889,0.372288
0.590919,0.721972
0.586209,0.52117
0.514047,0.60724
0.350894,0.482225
0.438257,0.540313
0.39174,0.49034
0.24872,0.266406
0.568736,0.559265
0.222209,0.340365
0.620484,0.675038
0.51702,0.560095
0.403267,0.388291
0.263456,0.258874
0.413075,0.434853
0.659957,0.698587
0.215047,0.177987
0.242639,0.401489
0.398876,0.50871
0.452505,0.584129
0.483185,0.528688
0.397654,0.466723
0.418434,0.478805
0.409335,0.595364
0.426551,0.444581
0.302216,0.514369
0.533651,0.473446
0.538426,0.682974
0.568273,0.568411
0.416595,0.474329
0.314618,0.408458
0.277568,0.410813
0.629945,0.677006
0.465121,0.560857
0.34555,0.405438
0.527482,0.536258
0.545457,0.624626
0.357873,0.330257
0.367489,0.475649
0.650441,0.663465
0.436085,0.623028
0.466523,0.431874
0.254864,0.294931
0.349504,0.4236
0.765641,0.78495
0.37997,0.501198
0.500053,0.536252
0.238975,0.281145
0.386302,0.540795
0.492447,0.450364
0.490683,0.619297
0.423511,0.438418
0.395936,0.478948
0.410426,0.352846
0.611632,0.727913
0.57778,0.634186
0.622707,0.718771
0.406036,0.596974
0.496648,0.538748
0.426008,0.435895
0.299613,0.2889
0.533525,0.549967
0.649643,0.782011
0.572226,0.733006
0.397214,0.573202
0.506057,0.537436
0.723601,0.702829
0.478601,0.426928
0.559946,0.648312
0.450691,0.601419
0.409248,0.47745
0.435818,0.429853
0.416097,0.416896
0.459463,0.517843
0.635667,0.701107
0.51597,0.620476
0.430681,0.421255
0.419639,0.517659
0.445745,0.438172
0.509978,0.536452
0.307116,0.442148
0.179082,0.304359
0.721507,0.826438
0.364007,0.329043
0.505956,0.581523
0.376608,0.53029
0.445309,0.615244
0.320365,0.37831
0.27981,0.413013
0.429032,0.645799
0.449366,0.609194
0.408758,0.418923
0.350989,0.429549
0.550492,0.635983
0.467473,0.466597
0.242636,0.206316
0.262477,0.372433
0.606884,0.677313
0.241493,0.228975
0.400871,0.46651
0.226725,0.323989
0.350536,0.473204
0.599025,0.565103
0.417105,0.589232
0.466889,0.563896
0.398045,0.360935
0.333182,0.438442
0.489136,0.456381
0.562638,0.675671
0.384613,0.536392
0.50315,0.629794
0.198485,0.238732
0.587135,0.648905
0.329133,0.49169
0.41949,0.382431
0.470347,0.539168
0.337192,0.421924
0.364013,0.434703
0.330917,0.292998
0.517043,0.650484
0.495907,0.582976
0.537781,0.594204
0.592383,0.721092
0.371684,0.388957
0.396929,0.544854
0.344143,0.485862
0.556111,0.529663
0.456642,0.530557
0.35948,0.501011
0.534496,0.498532
0.476088,0.431258
0.244413,0.412111
0.295894,0.383326
0.558879,0.664131
0.515711,0.61734
0.755069,0.755627
0.473717,0.6423
0.514037,0.530515
0.399538,0.509713
0.346278,0.462206
0.346324,0.429901
0.233772,0.37292
0.197098,0.287598
0.395621,0.475589
0.482428,0.547512
0.548277,0.658131
0.418516,0.577335
0.545473,0.641829
0.49109,0.462753
0.579992,0.680314
0.235007,0.356599
0.429309,0.43603
0.481506,0.542388
0.460021,0.589925
0.655431,0.606356
0.5892,0.772845
0.549471,0.54232
0.473965,0.553613
0.712874,0.756484
